全日本ベンチプレス選手権大会,2011-02-12,1,0,,,,,,,,,,,,,,
奥谷 元哉,1,1,0,30,73.7,0,0,0,-205,205,-212.5,0,0,0,205,3,147.89
井出 光弘,1,1,0,49,73.25,0,0,0,-195,195,-200,0,0,0,195,4,141.36
山下 保樹,1,1,0,19,73.85,0,0,0,170,182.5,-197.5,0,0,0,182.5,5,131.53
吉岡 秀明,1,1,0,26,73.75,0,0,0,165,172.5,180,0,0,0,180,6,129.98
松岡 俊男,1,1,0,48,72.65,0,0,0,162.5,167.5,-175,0,0,0,167.5,7,120.95
西尾 元希,1,1,0,20,72.75,0,0,0,165,-172.5,-182.5,0,0,0,165,8,119.03
北井 将太,1,1,0,20,71.1,0,0,0,137.5,142.5,152.5,0,0,0,152.5,9,112.94
八木 恒彦,1,1,0,31,71.9,0,0,0,140,145,-150,0,0,0,145,10,106.5
ｼﾞｮｰｼﾞ ﾄゥﾙｰﾆｰ,1,1,0,31,68.6,0,0,0,140,-150,-160,0,0,0,140,11,106.57
福島 勇輝,1,1,0,24,81.6,0,0,0,275,-285,285,0,0,0,285,1,192.2
福田 将志,1,1,0,26,82.7,0,0,0,260,-277.5,-277.5,0,0,0,260,2,173.91
天辻 忍,1,1,0,48,82.8,0,0,0,-210,210,222.5,0,0,0,222.5,3,148.74
古谷 和史,1,1,0,28,78.55,0,0,0,190,-200,200,0,0,0,200,4,138.2
林 耕平,1,1,0,24,82.9,0,0,0,190,-202.5,-202.5,0,0,0,190,5,126.92
藤原 英司,1,1,0,42,80.6,0,0,0,180,-185,-185,0,0,0,180,6,122.31
吉澤 幸彦,1,1,0,22,82.1,0,0,0,175,180,-185,0,0,0,180,7,120.94
長塚 佳紀,1,1,0,22,82.6,0,0,0,165,177.5,-182.5,0,0,0,177.5,8,118.82
近藤 正和,1,1,0,24,75.9,0,0,0,150,160,-177.5,0,0,0,160,9,113.07
渡辺 雄次,1,1,0,30,90.85,0,0,0,282.5,-300,-300,0,0,0,282.5,1,179.56
