全日本パワーリフティング選手権大会,2012-06-03,1,1,,,,,,,,,,,,,
中井 敬子,0,1,1,35,50.55,130,-140,140,-85,85,90,145,-150,-155.5,375,477.75
木村 初子,0,1,1,60,52.6,-140,140,-155,65,72.5,-80,160,170,-181,382.5,472.62
田中 彰子,0,1,1,47,50.85,120,130,140,67.5,72.5,77.5,125,135,-140,352.5,447.06
大森 聖子,0,1,1,60,50.65,137.5,147.5,-152.5,-67.5,67.5,72.5,125,-130,130,350,445.23
新井 拡子,0,1,1,49,49.3,105,-115,-120,105.5,-110,-115.5,112.5,125,-135,335.5,435.6
磯田 あかね,0,1,1,41,53.85,115,125,130,85,-90,90,122.5,130,135,355,430.7
薄 亜由美,0,1,1,31,54.75,145,-150,150,75,77.5,-80,120,127.5,-130,355,425.15
古味 良子,0,1,1,57,61.35,125,135,-142.5,-110,-110,110,125,135,140,385,421.93
照屋 利恵,0,1,1,37,75.15,165,175,180,100,110,112.5,140,150,-155,442.5,420.13
林 和美,0,1,1,48,55.5,132.5,142.5,-147.5,70,77.5,-82.5,125,132.5,-137.5,352.5,417.68
長谷川 真紀,0,1,1,47,53.95,115,127.5,-132.5,72.5,77.5,80,117.5,127.5,132.5,340,411.9
南澤 さより,0,1,1,22,52.25,-140,140,-152.5,55,-60,60,120,127.5,130,330,409.87
岡本 美樹,0,1,1,46,45.55,100,105,-107.5,62.5,65,67.5,115,120,125,297.5,409.11
滝田 由美,0,1,1,40,54.55,115,122.5,127.5,75,80,85,110,122.5,-125,335,402.35
馬場 美貴子,0,1,1,51,55.55,110,-120,-120,60,65,67.5,110,120,125,302.5,358.18
高橋 聖子,0,1,1,42,45.5,90,-100,-100,50,-55,-60,95,105,-110,245,337.17
